Period 2026-08, blocks 18401463-18827187
cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,jailed_block,jailed_time,jailed_reason,tombstoned,burned_coins,detection_method
cosmosvaloper18zqheq54mahrnjul4tykumuhsj5pms7v7cr944,cosmos18zqheq54mahrnjul4tykumuhsj5pms7vmvhsex,KalpaTech,iTif8WGSm1keuRCyPMVMK0ueXXzRRXNSm3nllLZImig=,67FFCD2A4A82FE8C9D321ADE7D3A8ADC857F0B02,cosmosvalcons1vllu62j2stlge8fjrt086w52mjzh7zczldmw7e,18817902,2026-08-31T07:42:26Z,downtime,False,204029300,block_search
cosmosvaloper1hqqepc3qxqyd0mlf7xdrxej9rehgnxyytnnv6t,cosmos1hqqepc3qxqyd0mlf7xdrxej9rehgnxyyw88ekc,🕺,5aEOOiBBceyr3uLoE7Bd7qSDubJw1it8LSICySAbDoM=,6FE4A605AA5CC0814AC68944ADE20AA67C6699AB,cosmosvalcons1dlj2vpd2tnqgzjkx39z2mcs25e7xdxdtpnfgfk,18796524,2026-08-29T18:26:57Z,downtime,False,199980100,block_search
cosmosvaloper1rynuc6zdf3tv7s7fqzf4lrr0vhmgsmndpad0up,cosmos1rynuc6zdf3tv7s7fqzf4lrr0vhmgsmndyfe6sj,MyCosmosNode2,YZDpbjG4FZqFl43GUfimLNTXPVFR+ElZQwKMucUxqFU=,61A2CBA77A7E6B53D06667BC81773E5BF4705ADF,cosmosvalcons1vx3vhfm60e4485rxv77gzae7t068qkkla77wu8,18753222,2026-08-26T14:57:33Z,downtime,False,100,block_search
cosmosvaloper1c5hjcuw46y78zzprvyxw5qqgl2v6rycqrph8ha,cosmos1c5hjcuw46y78zzprvyxw5qqgl2v6rycqx4rjmw,MyCosmosNode,YZDpbjG4FZqFl43GUfimLNTXPVFR+ELZQwKMucUxqFU=,323CD14151A36FFC080B777B9D98531E3FD3EF06,cosmosvalcons1xg7dzs235dhlczqtwaaemxznrcla8mcxe6g7kg,18747425,2026-08-26T04:47:29Z,downtime,False,100,block_search
cosmosvaloper1xhp07jjkm2yukjy8rge4j9a4urgnyerulkcyh9,cosmos1xhp07jjkm2yukjy8rge4j9a4urgnyeru6zv3mk,test🧪,Wk4qYY887VYEcybKtTKmaXZ2rBfKVNUzvZ3qNYrjxAs=,8753357219D0B8E7C6ABCC2D0CF8ACBE4D1AD85E,cosmosvalcons1safn2use6zuw034teskse79vhex34kz74uwp87,18442992,2026-08-04T00:57:45Z,downtime,False,500700,block_search
cosmosvaloper1p99ltwmxue62k4rk7uw3fsu6tyrjzvz4jaznhe,cosmos1p99ltwmxue62k4rk7uw3fsu6tyrjzvz4hfkxm2,Gozong,qiHCvi1uq6rW/kJxmqn1/ZWndN5domDnFA0eWxv7+eM=,8FCD3D4A2EDF0AFE6A47A332B68850D608E9AD5A,cosmosvalcons13lxn6j3wmu90u6j85vetdzzs6cywnt26lpemc8,18660984,2026-08-19T22:08:10Z,downtime,False,100,block_search
cosmosvaloper154k3wdzghypfm9575r0h3ztwnfau9cwmgznu9r,cosmos154k3wdzghypfm9575r0h3ztwnfau9cwmdk8ffs,Lavender.Five Nodess 🐝,4N+d63MknzMpAGMtpLrvlZHEb6GyPM/Wc8ap4mhGyDY=,A4879F93151349B61A8F68C2AC53B8A77540250A,cosmosvalcons15jrelyc4zdymvx50drp2c5ac5a65qfg2rk0kyw,18635365,2026-08-18T01:29:20Z,downtime,False,100000100,block_search
cosmosvaloper1lqqjntt0xm30lde0d8tquxek9p7xlraswz64gn,cosmos1lqqjntt0xm30lde0d8tquxek9p7xlrastkwqyq,testnetCompass,w5EJsyfAc6nZMcAP4zgnT/axEddoh42qoE6/9VmHxc4=,2B3FCA7773BB5E103D1CD75B6E643C72449CEBB4,cosmosvalcons19vlu5amnhd0pq0gu6adkuepuwfzfe6a5rjwd8j,18601849,2026-08-15T15:07:59Z,downtime,False,99990200,block_search
cosmosvaloper17xqgafe6jqqqcuj3tms93z3ktjpcxf0lypkdz5,cosmos17xqgafe6jqqqcuj3tms93z3ktjpcxf0lp4zcw8,Enigma,NiKRUXQ5+jR16WeULbg9hvtk+sWtc1ky5ukxjvK+hm4=,CD959E25373D30D4779473A933C36DE25630763C,cosmosvalcons1ek2euffh85cdgau5ww5n8smduftrqa3u58zpz2,18547954,2026-08-11T16:54:56Z,downtime,False,103671100,block_search
cosmosvaloper18r27wxh48n3cmreehqsu8qgk7t9umhp3sgzsfk,cosmos18r27wxh48n3cmreehqsu8qgk7t9umhp34uk999,ugprade-val-1,N+8mh7sHczQ7BrX+zjuoswvzcvTL1SjUSbi76Je9+nE=,FF57AFFDC055C3B25EFAF6240BA2E60C4DB3082C,cosmosvalcons1lat6llwq2hpmyhh67cjqhghxp3xmxzpvggcfv9,18556546,2026-08-12T07:52:32Z,downtime,False,100,block_search
cosmosvaloper19sj5zln4v9hfjvwsy2mg9gjpuqp87xhjyzyqh4,cosmos19sj5zln4v9hfjvwsy2mg9gjpuqp87xhjpks4mx,hlkdev1-test,M31hM1huKuGuwPK9R6AGSefbsKPfGL4IInzNBJYlAXM=,D7D1A831E5CA219C5FA0918BFDCBB0099E081A32,cosmosvalcons16lg6sv09egsechaqjx9lmjaspx0qsx3jh33g02,18555401,2026-08-12T05:52:28Z,downtime,False,ם4,block_search
