cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,bonded,jailed,left_active_set,left_heights,joined_active_set,joined_heights,jailed_during_period,jailed_time,jailed_block,jailed_reason
cosmosvaloper1qp4y2esacc2jmepxcqlw440p6xas8j6t9g438v,cosmos1qp4y2esacc2jmepxcqlw440p6xas8j6tqupytl,POSTHUMAN 🧬 StakeDrop,goAyTrHPgBBEhay6FISMzTObWBHQab93kabC2s4HRRA=,4F5F8CDB1619568FBCDC72725819772F108555C7,cosmosvalcons1fa0cekckr9tgl0xuwfe9sxth9ugg24w8h92wf4,True,False,False,,False,,False,,,
cosmosvaloper1q8pcju4sz0aamg4mf7mj2ap70a3fd89tuqzsue,cosmos1q8pcju4sz0aamg4mf7mj2ap70a3fd89te5k9s2,MIPEnode,P5nHG8rliCZJuFsWTNcYqhbwIIHkr1DeVd/7t6HvTiU=,EAE3FF2B332851799462B491EA11D7F738A91627,cosmosvalcons1at3l72en9pghn9rzkjg75ywh7uu2j938scyncr,False,True,False,,False,,False,,,
cosmosvaloper1qf5n7ar235l7ey5v07zae6f0dskaze5dlmmknp,cosmos1qf5n7ar235l7ey5v07zae6f0dskaze5d600rlj,moonlet,7AKQTrTJp/DP8qVh8LE0vgDLkQDP7i/yygTwNCr3BGY=,42EEDA7856F43AEE26888B54796237BD4BE95BC1,cosmosvalcons1gthd57zk7sawuf5g3d28jc3hh497jk7pxj5h3h,False,True,False,,False,,False,,,
cosmosvaloper1qskdle2vsl6p9v5mpghxda6pw4q7fzaffxlatf,cosmos1qskdle2vsl6p9v5mpghxda6pw4q7fzafvjtg86,my-validator-name,yEL9Mx3Nb6EGntqwqVmBEMMw+jZSiXsQ8X9FU/kwwsw=,EAD8E15441E9CD5A419ABAE59D6EA5FA8C1F0284,cosmosvalcons1atvwz4zpa8x45sv6htje6m49l2xp7q5ywza4ya,False,True,False,,False,,False,,,
cosmosvaloper1q422p5m0gej7gp43385thsfpmjuwql72a9g3am,cosmos1q422p5m0gej7gp43385thsfpmjuwql72c3uy3g,a41,d1pL2k+uAuK++sumfQ/d0LQrvdn+gtFwbgcuhURj5ds=,2064E3A0045AE98D32CBFBCEAF98334B177A0D59,cosmosvalcons1ypjw8gqytt5c6vktl082lxpnfvth5r2e3qsaqg,False,True,False,,False,,False,,,
cosmosvaloper1q7wem3j4w52yw7tnrcuws3kgxcrwqvjx66up4y,cosmos1q7wem3j4w52yw7tnrcuws3kgxcrwqvjxlwg5eh,ledger,KTlLlLPKXOp8QL/4eK5GeyArtIDqXmSm27LjTGyreLc=,0EC3A6662A3E62F1485C5CC04E263D46687BBB31,cosmosvalcons1pmp6ve328e30zjzutnqyuf3age58hwe3pwmeu9,False,True,False,,False,,False,,,
cosmosvaloper1pqpn0q6yhexw60eat0a3q3ta47z4vea9m60phx,cosmos1pqpn0q6yhexw60eat0a3q3ta47z4vea97wm5m4,Pankaj-Provider,+p1hIKueE/50aWkn0xqVbAa/1qvAS4vf3g0gdogqe1U=,43B57B4036583566515706245C3A7FB902784565,cosmosvalcons1gw6hkspktq6kv52hqcj9cwnlhyp8s3t9ngz64y,False,False,False,,False,,False,,,
cosmosvaloper1pqdcgaa42ugctkwue8jtz2mfvh6yjqzem46fn4,cosmos1pqdcgaa42ugctkwue8jtz2mfvh6yjqze7pwulx,Commons Hub,uSdKBTUfYN4ekUyXOxi5gmq282WK99dfUqww962s/YU=,211BB184AA199F970A6A6850152A1FDE028EFBD9,cosmosvalcons1yydmrp92rx0ewzn2dpgp22slmcpga77elnx2k7,False,True,False,,False,,False,,,
cosmosvaloper1pq5lfvlm30hauvekcputdyylmqcmdmw3qay0a7,cosmos1pq5lfvlm30hauvekcputdyylmqcmdmw39fs63d,kokos,XYXrlIqO+67z10WpYp7AuK/wnoiRBP3VvjTqh6ziYOs=,A5D939DB8B1EBE78BEA36346D6B292EA79706AE1,cosmosvalcons15hvnnkutr6l8304rvdrddv5jafuhq6hpaum3fv,False,True,False,,False,,False,,,
cosmosvaloper1pzztln3usexx8z6cahxfqsjswjmhxylhuztr8u,cosmos1pzztln3usexx8z6cahxfqsjswjmhxylheklkt0,bitszn | valopers.com,rCuSdWUrNcHiIWgLr24RM8SqshzPue8aWkm276ICPN8=,336B3DCA63C6862E9468AA12BDC3C8B3EE15F759,cosmosvalcons1xd4nmjnrc6rza9rg4gftms7gk0hpta6eppzzfm,True,False,False,,False,,False,,,
