cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,bonded,jailed,left_active_set,left_heights,joined_active_set,joined_heights,jailed_during_period,jailed_time,jailed_block,jailed_reason
cosmosvaloper14qekdkj2nmmwea4ufg9n002a3pud23y8qk57ar,cosmos14qekdkj2nmmwea4ufg9n002a3pud23y89zqt3s, Lavender.Five Nodes 🐝,s2ssopV2TLMTTd0Ae4KeB1P7/jrdeYIocSmPsocXHnc=,EFA02D08986D733BDFAF3660563EDC8765359487,cosmosvalcons1a7sz6zycd4enhha0xes9v0kusajnt9y8yl09vp,False,True,False,,False,,False,,,
cosmosvaloper19lqvqs9sjx25n9wkxskw3a7n0fxp38esa6fz2g,cosmos19lqvqs9sjx25n9wkxskw3a7n0fxp38escwahxm,.,3KJr9t7zGk2OfdWM2CjRJM71RevExe+3JLDHuUiJlBk=,6B3CC6EC1CA6C5E03BE99C7B3546E23EEC5E3DD5,cosmosvalcons1dv7vdmqu5mz7qwlfn3an23hz8mk9u0w46ed6dt,False,True,False,,False,,False,,,
cosmosvaloper1vxcmfktf9c7ggzhjy0a8rp83327hvyfatlsxun,cosmos1vxcmfktf9c7ggzhjy0a8rp83327hvyfawtynsq,\tEZStaking.io,5FqKbohcc6IlRdXiv7PKOXVrV4oqEzpMvTWmIIXKpkE=,9A591D22D2F9BF371A1997451264AE26FAD28AC9,cosmosvalcons1nfv36gkjlxlnwxsejaz3ye9wymad9zkfz3frhe,False,True,False,,False,,False,,,
cosmosvaloper1q422p5m0gej7gp43385thsfpmjuwql72a9g3am,cosmos1q422p5m0gej7gp43385thsfpmjuwql72c3uy3g,a41,d1pL2k+uAuK++sumfQ/d0LQrvdn+gtFwbgcuhURj5ds=,2064E3A0045AE98D32CBFBCEAF98334B177A0D59,cosmosvalcons1ypjw8gqytt5c6vktl082lxpnfvth5r2e3qsaqg,False,True,False,,False,,False,,,
cosmosvaloper1mjn0y5hnwdatp99cxn5m248a8fxuy8rnfljqzw,cosmos1mjn0y5hnwdatp99cxn5m248a8fxuy8rnvtx4wa,ahnyoungjun-lab,0OJ8fdkUemRExLNQ3jdHeeed3Q14oPXIFR7SS2RRIjg=,7D0CE134498CD0C73F5182E2928EA99201022BD5,cosmosvalcons105xwzdzf3ngvw063st3f9r4fjgqsy2740eprdc,False,True,False,,False,,False,,,
cosmosvaloper1czlc099cl4560ze8ygvpjj6mlyx2rxeulnwu33,cosmos1czlc099cl4560ze8ygvpjj6mlyx2rxeu686faz,Alessandro Mazza,7XAuOZNLCs8307dU4WPtyihIG9VXqyANxbebD9KGOXY=,1250C221C284289696619AB505D0B13166557887,cosmosvalcons1zfgvygwzss5fd9npn26st593x9n927y8trf36e,False,True,False,,False,,False,,,
cosmosvaloper1rwwsaucuxj4qz3694hm3p5xlar6sttf6nfn0x3,cosmos1rwwsaucuxj4qz3694hm3p5xlar6sttf6ka862z,Allnodes,0GvoJNnOxsES4rKZj/H7n/IG5CF9cjUkMXh/hHfTIx0=,8CFA6DD1D4223F27B98EE81FA1462691AB2AB4C7,cosmosvalcons13naxm5w5yglj0wvwaq06z33xjx4j4dx8esrc9e,False,True,False,,False,,False,,,
cosmosvaloper1az23v8l4kghaewrycuaw2kmz36urak33g6wshe,cosmos1az23v8l4kghaewrycuaw2kmz36urak33dw69m2,AM Solutions 🪐,fy2vORop81PKpzcdVZGUe4LR332DdSRTA/CdtYOtFMI=,B6DFCED2BE72FE614B83B2E9B03E345FD9DE8E13,cosmosvalcons1km0ua547wtlxzjurkt5mq035tlvaarsnn5mjff,False,True,False,,False,,False,,,
cosmosvaloper12emeq9s57tr7sekkhrca4akf43a3ar95a8e3el,cosmos12emeq9s57tr7sekkhrca4akf43a3ar95cndy4v,amanita,IQbqdRcx2Kld18GotYcXZ/GALVhSS7GfNBDjxu2iRKg=,F0C40756D3598A5D4D55D0E182DC8E161FC1FEFD,cosmosvalcons17rzqw4kntx996n246rsc9hywzc0urlham02mml,False,True,False,,False,,False,,,
cosmosvaloper1ywj0gkd8mteunqjemv7sx9edajff29j2gjhhm4,cosmos1ywj0gkd8mteunqjemv7sx9edajff29j2dxrzhx,Angelhack,uSLgG764mWO7V82xEhfi0kNSDtUbrdViEOEObNpah7M=,C6BB98BCDB6C40E696A5F5FFBA5F7C8399143B44,cosmosvalcons1c6ae30xmd3qwd9497hlm5hmuswv3gw6ytpu2fh,False,True,False,,False,,False,,,
